NomeCliente; EnderecoCompleto; ValorFatura; NumeroPaginas;




















































































































































































































































































































Cliente Ficticio 539; 02615100, R DEZ DE MAIO,   101, CASA 2, VILA AMELIA, SAO PAULO, SP; 167.75; 12
Cliente Ficticio 540; 11701760, R GONZAGA,    32, APT 32, GUILHERMINA, PRAIA GRANDE, SP; 64.47; 12
Cliente Ficticio 541; 82950310, R FERNAO DIAS PAIS,    86, CAJURU, CURITIBA, PR; 20.56; 10
Cliente Ficticio 542; 90440001, R CEL BORDINI,  1153, APT 1101, AUXILIADORA, PORTO ALEGRE, RS; 162.12; 10
Cliente Ficticio 543; 02022050, R HELIODORA,   118, SANTANA, SAO PAULO, SP; 428.54; 8
Cliente Ficticio 544; 03730050, R DR ALMEIDA ABBADE,    31, JARDIM JAU (ZONA LESTE), SAO PAULO, SP; 132.36; 8













Cliente Ficticio 558; 23017000, EST DOS CABOCLOS,  1115, BL 9, CASA 105, CAMPO GRANDE, RIO DE JANEIRO, RJ; 492.07; 8
Cliente Ficticio 559; 03030000, R PE VIEIRA,    62, BL B, APT 174, CANINDE, SAO PAULO, SP; 196.70; 8
Cliente Ficticio 560; 69027400, R ACRIZIO CORREA,    90, CASA 1, GLORIA, MANAUS, AM; 206.00; 10
Cliente Ficticio 561; 79090420, R MIKE,  2161, VILA BASE AEREA, CAMPO GRANDE, MS; 235.86; 10
Cliente Ficticio 562; 03177090, R IPERANA,     2, QUARTA PARADA, SAO PAULO, SP; 138.67; 12
Cliente Ficticio 563; 15093010, R LAS VEGAS,   155, CONDOMINIO DEBORA CRISTINA, SAO JOSE DO RIO PRETO, SP; 201.01; 12




















Cliente Ficticio 584; 88106782, R BENJAMIM GERLACH FILHO,    98, APT 11, FORQUILHINHA, SAO JOSE, SC; 235.70; 10
Cliente Ficticio 585; 06182032, R N SRA CONCEICAO APARECIDA,  1027, QUITAUNA, OSASCO, SP; 169.25; 10
Cliente Ficticio 586; 09120230, R PINTO ALEIXO,    37, PARQUE GERASSI, SANTO ANDRE, SP; 95.11; 12
Cliente Ficticio 587; 04077022, AV MOEMA,   607, MOEMA, SAO PAULO, SP; 247.55; 12







































































































































































































